"cisp";"mes";"ano";"aisp";"risp";"arma_fogo_arma_fabricacao_caseira";"arma_fogo_carabina";"arma_fogo_espingarda";"arma_fogo_fuzil";"arma_fogo_garrucha";"arma_fogo_garruchao";"arma_fogo_metralhadora";"arma_fogo_outros";"arma_fogo_pistola";"arma_fogo_revolver";"arma_fogo_submetralhadora";"arma_fogo_total";"arma_branca_total";"artefato_explosivo_armadilha_explosiva";"artefato_explosivo_armadilha_incendiaria";"artefato_explosivo_bomba_fabricacao_caseira";"artefato_explosivo_granada";"artefato_explosivo_material_belico_explosivo";"artefato_explosivo_material_explosivo";"artefato_explosivo_material_explosivo_caseiro";"artefato_explosivo_material_nao_identificado";"artefato_explosivo_total";"municao_total";"simulacro_airsoft";"simulacro_arma_fabricacao_caseira";"simulacro_carabina";"simulacro_espingarda";"simulacro_fuzil";"simulacro_garrucha";"simulacro_garruchao";"simulacro_metralhadora";"simulacro_outros";"simulacro_paintball";"simulacro_pistola";"simulacro_revolver";"simulacro_submetralhadora";"simulacro_total"
6;9;2007;4;1;0;3;0;0;0;0;0;0;3;3;0;9;;;;;;;;;;;;;;;;;;;;;;;;;
6;10;2007;4;1;1;0;0;3;0;0;0;0;4;1;0;9;;;;;;;;;;;;;;;;;;;;;;;;;
6;11;2007;4;1;0;0;2;0;1;0;0;0;5;4;0;12;;;;;;;;;;;;;;;;;;;;;;;;;
6;12;2007;4;1;0;0;0;0;0;0;0;0;2;11;0;13;;;;;;;;;;;;;;;;;;;;;;;;;
7;1;2007;5;1;0;0;0;2;0;0;0;0;1;3;0;6;;;;;;;;;;;;;;;;;;;;;;;;;
7;2;2007;5;1;0;0;0;0;0;0;0;0;0;4;0;4;;;;;;;;;;;;;;;;;;;;;;;;;
7;3;2007;5;1;0;0;0;0;0;0;0;0;2;7;0;9;;;;;;;;;;;;;;;;;;;;;;;;;
7;4;2007;5;1;0;0;0;0;1;0;0;0;0;3;0;4;;;;;;;;;;;;;;;;;;;;;;;;;
7;5;2007;5;1;0;1;0;0;0;1;0;0;1;2;0;5;;;;;;;;;;;;;;;;;;;;;;;;;
7;6;2007;5;1;0;0;0;0;0;0;0;0;0;2;0;2;;;;;;;;;;;;;;;;;;;;;;;;;
7;7;2007;5;1;0;0;0;0;0;0;0;0;3;0;0;3;;;;;;;;;;;;;;;;;;;;;;;;;
7;8;2007;5;1;0;0;0;0;0;0;0;0;1;6;0;7;;;;;;;;;;;;;;;;;;;;;;;;;
7;9;2007;5;1;0;0;1;1;1;0;0;0;0;5;0;8;;;;;;;;;;;;;;;;;;;;;;;;;
7;10;2007;5;1;0;0;0;0;1;0;0;0;0;7;0;8;;;;;;;;;;;;;;;;;;;;;;;;;
7;11;2007;5;1;0;0;0;0;0;0;0;0;1;2;0;3;;;;;;;;;;;;;;;;;;;;;;;;;
7;12;2007;5;1;0;1;0;0;0;0;0;0;0;7;0;8;;;;;;;;;;;;;;;;;;;;;;;;;
9;1;2007;2;1;0;0;0;0;0;0;0;0;2;4;0;6;;;;;;;;;;;;;;;;;;;;;;;;;
9;2;2007;2;1;0;0;0;0;0;0;0;0;0;3;0;3;;;;;;;;;;;;;;;;;;;;;;;;;
9;3;2007;2;1;0;0;0;0;0;0;0;0;3;6;0;9;;;;;;;;;;;;;;;;;;;;;;;;;
9;4;2007;2;1;0;0;0;0;1;0;0;0;2;5;0;8;;;;;;;;;;;;;;;;;;;;;;;;;
9;5;2007;2;1;0;0;0;0;0;0;0;0;1;5;1;7;;;;;;;;;;;;;;;;;;;;;;;;;
9;6;2007;2;1;0;0;0;0;0;0;0;0;2;7;0;9;;;;;;;;;;;;;;;;;;;;;;;;;
9;7;2007;2;1;0;0;0;0;0;0;0;0;2;6;0;8;;;;;;;;;;;;;;;;;;;;;;;;;
9;8;2007;2;1;0;0;0;1;1;0;0;0;2;6;0;10;;;;;;;;;;;;;;;;;;;;;;;;;
9;9;2007;2;1;0;0;0;0;0;0;0;0;0;9;0;9;;;;;;;;;;;;;;;;;;;;;;;;;
9;10;2007;2;1;0;0;0;0;0;0;0;1;2;3;0;6;;;;;;;;;;;;;;;;;;;;;;;;;
9;11;2007;2;1;0;0;0;0;0;0;0;0;4;4;0;8;;;;;;;;;;;;;;;;;;;;;;;;;
9;12;2007;2;1;0;0;0;0;1;0;0;0;2;3;0;6;;;;;;;;;;;;;;;;;;;;;;;;;
10;1;2007;2;1;0;0;2;0;0;0;0;1;1;2;0;6;;;;;;;;;;;;;;;;;;;;;;;;;
10;2;2007;2;1;0;0;0;0;0;0;0;0;0;5;0;5;;;;;;;;;;;;;;;;;;;;;;;;;
10;3;2007;2;1;0;0;0;0;0;0;0;0;1;6;0;7;;;;;;;;;;;;;;;;;;;;;;;;;
10;4;2007;2;1;0;0;0;0;0;0;0;0;0;4;0;4;;;;;;;;;;;;;;;;;;;;;;;;;
10;5;2007;2;1;0;0;0;0;0;0;0;0;2;4;0;6;;;;;;;;;;;;;;;;;;;;;;;;;
10;6;2007;2;1;0;0;0;0;0;0;0;2;0;0;0;2;;;;;;;;;;;;;;;;;;;;;;;;;
10;7;2007;2;1;0;0;1;0;1;0;0;0;6;3;0;11;;;;;;;;;;;;;;;;;;;;;;;;;
10;8;2007;2;1;0;0;0;0;1;0;0;0;3;1;0;5;;;;;;;;;;;;;;;;;;;;;;;;;
10;9;2007;2;1;0;0;0;0;0;0;0;0;3;2;0;5;;;;;;;;;;;;;;;;;;;;;;;;;
10;10;2007;2;1;0;0;3;7;1;0;3;0;12;6;0;32;;;;;;;;;;;;;;;;;;;;;;;;;
10;11;2007;2;1;0;0;0;1;1;0;0;0;0;2;0;4;;;;;;;;;;;;;;;;;;;;;;;;;
10;12;2007;2;1;0;0;0;0;0;0;0;0;1;6;0;7;;;;;;;;;;;;;;;;;;;;;;;;;
11;1;2007;23;1;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;
11;2;2007;23;1;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;
11;3;2007;23;1;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;
11;4;2007;23;1;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;
11;5;2007;23;1;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;
11;6;2007;23;1;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;
11;7;2007;23;1;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;
11;8;2007;23;1;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;
11;9;2007;23;1;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;
11;10;2007;23;1;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;
11;11;2007;23;1;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;
11;12;2007;23;1;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;
12;1;2007;19;1;0;0;0;0;0;0;0;0;0;2;0;2;;;;;;;;;;;;;;;;;;;;;;;;;
12;2;2007;19;1;0;0;0;0;0;0;0;0;1;2;0;3;;;;;;;;;;;;;;;;;;;;;;;;;
12;3;2007;19;1;0;0;1;0;0;0;0;0;0;2;0;3;;;;;;;;;;;;;;;;;;;;;;;;;
12;4;2007;19;1;0;0;0;0;0;0;2;0;2;3;0;7;;;;;;;;;;;;;;;;;;;;;;;;;
12;5;2007;19;1;0;0;0;0;0;0;0;1;0;3;0;4;;;;;;;;;;;;;;;;;;;;;;;;;
12;6;2007;19;1;0;0;0;0;0;0;0;0;0;1;0;1;;;;;;;;;;;;;;;;;;;;;;;;;
12;7;2007;19;1;0;0;0;0;0;0;0;0;2;6;0;8;;;;;;;;;;;;;;;;;;;;;;;;;
12;8;2007;19;1;0;0;0;0;0;0;0;0;1;1;0;2;;;;;;;;;;;;;;;;;;;;;;;;;
12;9;2007;19;1;0;0;0;0;1;0;0;0;1;2;0;4;;;;;;;;;;;;;;;;;;;;;;;;;
12;10;2007;19;1;0;0;0;0;0;0;0;0;2;4;0;6;;;;;;;;;;;;;;;;;;;;;;;;;
12;11;2007;19;1;0;0;0;0;0;0;0;0;3;1;0;4;;;;;;;;;;;;;;;;;;;;;;;;;
12;12;2007;19;1;0;0;0;0;4;0;0;0;0;0;0;4;;;;;;;;;;;;;;;;;;;;;;;;;
13;1;2007;19;1;0;0;0;0;0;0;0;0;1;2;0;3;;;;;;;;;;;;;;;;;;;;;;;;;
13;2;2007;19;1;0;0;0;0;0;0;0;0;1;1;0;2;;;;;;;;;;;;;;;;;;;;;;;;;
13;3;2007;19;1;0;0;1;0;0;0;0;0;0;1;0;2;;;;;;;;;;;;;;;;;;;;;;;;;
13;4;2007;19;1;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;
13;5;2007;19;1;0;0;0;0;0;0;0;1;0;1;0;2;;;;;;;;;;;;;;;;;;;;;;;;;
13;6;2007;19;1;0;0;0;0;0;0;0;0;0;2;0;2;;;;;;;;;;;;;;;;;;;;;;;;;
13;7;2007;19;1;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;
13;8;2007;19;1;0;0;1;0;1;0;1;0;5;1;0;9;;;;;;;;;;;;;;;;;;;;;;;;;
13;9;2007;19;1;0;0;0;0;0;0;0;0;2;1;1;4;;;;;;;;;;;;;;;;;;;;;;;;;
13;10;2007;19;1;0;0;0;0;0;0;0;0;1;1;0;2;;;;;;;;;;;;;;;;;;;;;;;;;
13;11;2007;19;1;0;0;1;0;1;0;1;0;0;0;0;3;;;;;;;;;;;;;;;;;;;;;;;;;
13;12;2007;19;1;0;0;0;0;0;0;0;0;1;1;0;2;;;;;;;;;;;;;;;;;;;;;;;;;
14;1;2007;23;1;0;0;0;0;0;0;0;0;1;2;0;3;;;;;;;;;;;;;;;;;;;;;;;;;
14;2;2007;23;1;0;0;0;0;0;0;0;0;3;3;0;6;;;;;;;;;;;;;;;;;;;;;;;;;
14;3;2007;23;1;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;
14;4;2007;23;1;0;0;0;0;0;0;0;0;1;2;0;3;;;;;;;;;;;;;;;;;;;;;;;;;
14;5;2007;23;1;0;0;0;0;0;0;0;0;2;0;0;2;;;;;;;;;;;;;;;;;;;;;;;;;
14;6;2007;23;1;0;0;0;0;0;0;0;0;4;3;0;7;;;;;;;;;;;;;;;;;;;;;;;;;
14;7;2007;23;1;0;0;1;0;0;0;0;0;0;2;0;3;;;;;;;;;;;;;;;;;;;;;;;;;
14;8;2007;23;1;0;0;0;0;0;0;0;0;0;1;0;1;;;;;;;;;;;;;;;;;;;;;;;;;
14;9;2007;23;1;0;0;0;0;0;0;0;0;1;1;0;2;;;;;;;;;;;;;;;;;;;;;;;;;
14;10;2007;23;1;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;
14;11;2007;23;1;0;0;0;0;0;0;0;0;0;2;0;2;;;;;;;;;;;;;;;;;;;;;;;;;
14;12;2007;23;1;0;0;0;0;0;0;0;0;1;1;0;2;;;;;;;;;;;;;;;;;;;;;;;;;
15;1;2007;23;1;0;0;0;0;1;0;0;1;2;4;0;8;;;;;;;;;;;;;;;;;;;;;;;;;
15;2;2007;23;1;0;0;1;0;0;0;0;0;1;4;0;6;;;;;;;;;;;;;;;;;;;;;;;;;
15;3;2007;23;1;2;0;2;1;2;0;0;0;4;6;0;17;;;;;;;;;;;;;;;;;;;;;;;;;
15;4;2007;23;1;0;1;0;0;0;0;0;0;0;11;0;12;;;;;;;;;;;;;;;;;;;;;;;;;
15;5;2007;23;1;0;1;0;0;0;0;0;0;5;5;0;11;;;;;;;;;;;;;;;;;;;;;;;;;
15;6;2007;23;1;0;0;0;0;0;0;0;0;1;3;0;4;;;;;;;;;;;;;;;;;;;;;;;;;
15;7;2007;23;1;1;0;0;0;0;0;0;0;1;2;0;4;;;;;;;;;;;;;;;;;;;;;;;;;
15;8;2007;23;1;0;0;0;0;1;0;0;0;3;4;0;8;;;;;;;;;;;;;;;;;;;;;;;;;
15;9;2007;23;1;0;0;2;0;0;0;0;0;1;6;0;9;;;;;;;;;;;;;;;;;;;;;;;;;
15;10;2007;23;1;0;0;0;1;0;0;0;0;0;2;0;3;;;;;;;;;;;;;;;;;;;;;;;;;
15;11;2007;23;1;0;0;2;1;0;0;0;0;0;0;0;3;;;;;;;;;;;;;;;;;;;;;;;;;
15;12;2007;23;1;0;0;1;0;0;0;0;0;0;2;0;3;;;;;;;;;;;;;;;;;;;;;;;;;
16;1;2007;31;2;0;0;0;0;0;0;0;0;1;4;0;5;;;;;;;;;;;;;;;;;;;;;;;;;
16;2;2007;31;2;0;0;1;0;0;0;0;0;3;4;0;8;;;;;;;;;;;;;;;;;;;;;;;;;
16;3;2007;31;2;0;0;0;0;0;0;0;0;4;6;0;10;;;;;;;;;;;;;;;;;;;;;;;;;
16;4;2007;31;2;0;0;0;0;0;0;0;0;0;7;0;7;;;;;;;;;;;;;;;;;;;;;;;;;
16;5;2007;31;2;0;0;0;0;0;0;0;0;4;10;0;14;;;;;;;;;;;;;;;;;;;;;;;;;
16;6;2007;31;2;0;0;0;0;0;0;0;0;1;4;0;5;;;;;;;;;;;;;;;;;;;;;;;;;
16;7;2007;31;2;0;0;0;0;0;0;0;0;3;2;0;5;;;;;;;;;;;;;;;;;;;;;;;;;
16;8;2007;31;2;0;2;0;0;0;0;0;0;0;3;0;5;;;;;;;;;;;;;;;;;;;;;;;;;
16;9;2007;31;2;0;0;0;0;0;0;0;3;2;7;0;12;;;;;;;;;;;;;;;;;;;;;;;;;
16;10;2007;31;2;0;0;0;0;1;0;0;0;3;3;0;7;;;;;;;;;;;;;;;;;;;;;;;;;
16;11;2007;31;2;0;0;0;0;0;0;0;0;4;5;0;9;;;;;;;;;;;;;;;;;;;;;;;;;
16;12;2007;31;2;0;1;2;0;0;0;0;0;3;4;0;10;;;;;;;;;;;;;;;;;;;;;;;;;
17;1;2007;4;1;2;0;1;1;1;0;0;0;6;8;0;19;;;;;;;;;;;;;;;;;;;;;;;;;
17;2;2007;4;1;0;0;2;0;1;0;0;0;2;10;0;15;;;;;;;;;;;;;;;;;;;;;;;;;
17;3;2007;4;1;0;0;0;0;1;0;0;0;7;4;0;12;;;;;;;;;;;;;;;;;;;;;;;;;
17;4;2007;4;1;1;0;0;0;0;0;0;1;4;2;0;8;;;;;;;;;;;;;;;;;;;;;;;;;
17;5;2007;4;1;0;1;0;0;0;0;0;0;8;6;0;15;;;;;;;;;;;;;;;;;;;;;;;;;
17;6;2007;4;1;2;0;0;0;1;0;1;1;3;9;0;17;;;;;;;;;;;;;;;;;;;;;;;;;
17;7;2007;4;1;0;0;0;0;0;0;0;0;4;9;0;13;;;;;;;;;;;;;;;;;;;;;;;;;
17;8;2007;4;1;3;1;0;0;1;0;0;0;1;7;0;13;;;;;;;;;;;;;;;;;;;;;;;;;
17;9;2007;4;1;0;0;0;1;0;0;0;0;6;7;1;15;;;;;;;;;;;;;;;;;;;;;;;;;
17;10;2007;4;1;0;1;0;1;0;0;0;0;3;10;0;15;;;;;;;;;;;;;;;;;;;;;;;;;
17;11;2007;4;1;0;0;0;0;0;0;1;0;4;10;0;15;;;;;;;;;;;;;;;;;;;;;;;;;
17;12;2007;4;1;0;0;0;0;0;0;0;0;3;5;0;8;;;;;;;;;;;;;;;;;;;;;;;;;
18;1;2007;4;1;0;0;0;0;1;0;0;0;0;1;0;2;;;;;;;;;;;;;;;;;;;;;;;;;
18;2;2007;4;1;0;0;0;0;0;0;0;0;3;2;0;5;;;;;;;;;;;;;;;;;;;;;;;;;
18;3;2007;4;1;1;0;0;0;0;0;0;0;0;0;0;1;;;;;;;;;;;;;;;;;;;;;;;;;
18;4;2007;4;1;1;0;0;0;1;0;0;0;0;1;0;3;;;;;;;;;;;;;;;;;;;;;;;;;
18;5;2007;4;1;1;0;0;0;0;0;0;0;0;0;0;1;;;;;;;;;;;;;;;;;;;;;;;;;
18;6;2007;4;1;0;0;0;1;0;0;0;0;1;2;0;4;;;;;;;;;;;;;;;;;;;;;;;;;
18;7;2007;4;1;0;0;0;0;0;0;0;0;3;2;0;5;;;;;;;;;;;;;;;;;;;;;;;;;
18;8;2007;4;1;0;0;1;1;0;0;0;0;0;2;0;4;;;;;;;;;;;;;;;;;;;;;;;;;
18;9;2007;4;1;0;0;1;0;0;0;0;0;0;1;0;2;;;;;;;;;;;;;;;;;;;;;;;;;
18;10;2007;4;1;0;0;1;0;0;0;0;0;3;0;0;4;;;;;;;;;;;;;;;;;;;;;;;;;
18;11;2007;4;1;0;0;0;0;0;0;0;0;0;3;0;3;;;;;;;;;;;;;;;;;;;;;;;;;
18;12;2007;4;1;0;0;1;0;0;0;0;0;0;2;0;3;;;;;;;;;;;;;;;;;;;;;;;;;
19;1;2007;6;1;1;0;1;0;0;0;0;0;2;1;0;5;;;;;;;;;;;;;;;;;;;;;;;;;
19;2;2007;6;1;1;0;2;0;1;0;0;0;1;1;0;6;;;;;;;;;;;;;;;;;;;;;;;;;
19;3;2007;6;1;5;0;1;0;0;0;0;0;5;4;1;16;;;;;;;;;;;;;;;;;;;;;;;;;
19;4;2007;6;1;4;0;0;1;0;0;0;0;5;4;0;14;;;;;;;;;;;;;;;;;;;;;;;;;
19;5;2007;6;1;1;1;1;0;0;0;0;0;3;4;0;10;;;;;;;;;;;;;;;;;;;;;;;;;
19;6;2007;6;1;2;0;1;0;0;0;1;0;3;4;0;11;;;;;;;;;;;;;;;;;;;;;;;;;
19;7;2007;6;1;1;0;0;0;1;0;0;0;2;3;0;7;;;;;;;;;;;;;;;;;;;;;;;;;
19;8;2007;6;1;6;0;0;0;0;0;0;0;2;3;0;11;;;;;;;;;;;;;;;;;;;;;;;;;
19;9;2007;6;1;1;0;2;1;0;0;0;0;4;4;0;12;;;;;;;;;;;;;;;;;;;;;;;;;
19;10;2007;6;1;1;0;0;0;0;0;0;0;5;2;0;8;;;;;;;;;;;;;;;;;;;;;;;;;
19;11;2007;6;1;0;0;1;0;0;0;0;0;4;3;0;8;;;;;;;;;;;;;;;;;;;;;;;;;
19;12;2007;6;1;0;0;1;0;0;0;0;0;2;5;0;8;;;;;;;;;;;;;;;;;;;;;;;;;
20;1;2007;6;1;0;1;0;0;0;0;0;0;3;1;0;5;;;;;;;;;;;;;;;;;;;;;;;;;
20;2;2007;6;1;0;0;2;0;0;0;0;0;0;3;0;5;;;;;;;;;;;;;;;;;;;;;;;;;
20;3;2007;6;1;0;0;0;0;0;0;0;0;1;2;0;3;;;;;;;;;;;;;;;;;;;;;;;;;
20;4;2007;6;1;0;0;0;0;0;0;0;0;5;4;1;10;;;;;;;;;;;;;;;;;;;;;;;;;
20;5;2007;6;1;0;0;0;0;0;0;0;0;2;5;0;7;;;;;;;;;;;;;;;;;;;;;;;;;
20;6;2007;6;1;0;0;0;0;0;0;0;0;0;3;0;3;;;;;;;;;;;;;;;;;;;;;;;;;
20;7;2007;6;1;1;0;0;0;0;0;0;0;3;0;0;4;;;;;;;;;;;;;;;;;;;;;;;;;
20;8;2007;6;1;0;0;0;1;0;0;0;0;3;2;0;6;;;;;;;;;;;;;;;;;;;;;;;;;
20;9;2007;6;1;2;1;1;0;0;0;0;0;4;2;0;10;;;;;;;;;;;;;;;;;;;;;;;;;
20;10;2007;6;1;0;1;1;0;0;0;0;0;5;6;0;13;;;;;;;;;;;;;;;;;;;;;;;;;
20;11;2007;6;1;0;1;2;0;0;0;1;0;3;3;0;10;;;;;;;;;;;;;;;;;;;;;;;;;
20;12;2007;6;1;2;0;2;0;0;0;0;0;2;3;0;9;;;;;;;;;;;;;;;;;;;;;;;;;
21;1;2007;22;1;0;0;3;1;0;0;0;0;7;9;0;20;;;;;;;;;;;;;;;;;;;;;;;;;
21;2;2007;22;1;0;0;2;2;0;0;0;0;7;10;0;21;;;;;;;;;;;;;;;;;;;;;;;;;
21;3;2007;22;1;0;0;1;1;0;0;0;0;3;9;0;14;;;;;;;;;;;;;;;;;;;;;;;;;
21;4;2007;22;1;0;2;0;0;0;0;0;0;5;8;0;15;;;;;;;;;;;;;;;;;;;;;;;;;
21;5;2007;22;1;0;0;0;2;0;0;0;0;10;9;0;21;;;;;;;;;;;;;;;;;;;;;;;;;
21;6;2007;22;1;0;0;2;5;0;0;2;0;8;9;0;26;;;;;;;;;;;;;;;;;;;;;;;;;
21;7;2007;22;1;0;0;0;1;1;0;0;0;6;3;1;12;;;;;;;;;;;;;;;;;;;;;;;;;
21;8;2007;22;1;0;0;1;3;0;0;0;0;9;8;0;21;;;;;;;;;;;;;;;;;;;;;;;;;
21;9;2007;22;1;0;0;0;1;0;0;1;0;7;7;0;16;;;;;;;;;;;;;;;;;;;;;;;;;
21;10;2007;22;1;0;0;0;1;0;0;0;0;8;6;0;15;;;;;;;;;;;;;;;;;;;;;;;;;
21;11;2007;22;1;0;2;2;3;0;0;0;0;8;7;0;22;;;;;;;;;;;;;;;;;;;;;;;;;
